"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Afghanistan","2010","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Import","14043035","481289","Number of items","230"
"Afghanistan","2010","Machines; unit construction machines (single station), for working metal","Import","10763579","","Number of items","195"
"Afghanistan","2010","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Import","75378054","7736450","Weight in kilograms","7736450"
"Afghanistan","2009","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)","Import","7203199","483798","Number of items","53935"
"Afghanistan","2009","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Import","6282983","233257","Number of items","103"
"Afghanistan","2009","Machines; unit construction machines (single station), for working metal","Import","4675501","","Number of items","192"
"Afghanistan","2009","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Import","37676823","3557570","Weight in kilograms","3557570"
"Afghanistan","2008","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)","Import","5994168","","Number of items","52923"
"Afghanistan","2008","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Import","3344182","118042.541","Number of items","50.901"
"Afghanistan","2008","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Import","38288791","3538298.823","Weight in kilograms","3538298.823"
"Albania","2024","Boilers; vapour generating boilers, including hybrid boilers n.e.c. in heading no. 8402","Import","356048.504","84595","Weight in kilograms","84595"
"Albania","2024","Boilers; parts of steam or other vapour generating boilers","Import","167753.675","12478.39","Weight in kilograms","12478.39"
"Albania","2024","Boilers; central heating boilers (excluding those of heading no. 8402)","Import","442221.427","78089.64","No Quantity",""
"Albania","2024","Boilers; parts of central heating boilers (excluding those of heading no. 8402)","Import","71167.947","8043.89","Weight in kilograms","8043.89"
"Albania","2024","Boilers; auxiliary plant, for use with boilers of heading no. 8402 or 8403 (e.g. economisers, super-heaters, soot removers, gas recoverers)","Import","18939.528","5432.19","Weight in kilograms","5432.19"
"Albania","2024","Engines; outboard motors for marine propulsion, spark-ignition reciprocating or rotary internal combustion piston engines","Import","867687.849","35127.9","Number of items","209.296"
